,Name,log(Mb),e_log(Mb),Inc,e_Inc,Vf,e_Vf,V2exp,e_V2exp,V2eff,e_V2eff,Vmax,e_Vmax,Wp20,e_Wp20,Wm50,e_Wm50,Wm50c,e_Wm50c
109,UGC05918,8.71,0.26,46,5,0,0,42,5.3,0,0,44.5,5.4,104.3,10.6,0,0,0,0
110,UGC05986,9.77,0.27,90,3,113,4.9,104.4,3.6,116,2,116,2.3,262,5,252,20,248,20
111,UGC06399,9.31,0.14,75,2,85,5.2,78.4,3.8,85.5,5,87.6,5,179.1,17.4,185.3,8.2,181.2,8.2
112,UGC06446,9.37,0.26,51,3,82.2,7,69.2,4.6,74.1,4.8,84.9,6.6,200.7,12.4,173.7,14.9,171.1,14.9
113,UGC06614,10.96,0.12,36,10,199.8,51.4,170,41.4,178.7,43.7,205,51.8,473,114.7,0,0,0,0
114,UGC06667,9.25,0.13,89,1,83.8,3.9,0,0,85,3,85.7,3.4,199,11,184.5,14.5,181.5,14.5
115,UGC06786,10.64,0.24,64,3,219.4,9.8,220,6.3,220,8.4,229,6.1,487.3,13.4,476.2,22.6,470.6,22.5
116,UGC06787,10.75,0.24,66,3,248.1,7.7,243.2,6,233,6.2,276,14.1,533.1,16.6,0,0,0,0
117,UGC06818,9.35,0.13,75,3,71.2,6.4,42.2,4.3,61,4.8,74.4,6.1,182.2,12.3,158.4,8.3,154.3,8.3
118,UGC06917,9.79,0.14,56,2,108.7,6.2,99.9,4.2,106.8,4.7,111,6.5,243.7,9.8,230.4,9.7,225.6,9.6
119,UGC06923,9.4,0.14,65,2,79.6,5.1,74.9,4.9,75.9,4.1,81.1,5.3,192,6.8,166.6,8.4,162.2,8.4
120,UGC06930,9.94,0.13,32,5,107.2,16.4,102.9,15.3,103.1,15.3,109,16.1,262.3,37.5,0,0,0,0
121,UGC06983,9.82,0.13,49,1,109,7.8,102.5,3.8,107.1,4.7,113,4.7,261,8,241.2,16.4,237.2,16.4
122,UGC07089,9.53,0.14,80,3,0,0,63,4.4,73.5,6.1,79.1,7.3,161.5,7.2,151.3,8.1,147.2,8.1
123,UGC07125,9.88,0.26,90,3,65.2,2.8,56.7,2,57.3,2,65.6,2.1,180,9,151,8,147,8
124,UGC07151,9.29,0.08,90,3,73.5,3.7,66.6,2.1,72.1,3.2,76.2,3.2,172,4,160,11,158,11
125,UGC07232,8.07,0.08,59,5,0,0,36,3.8,0,0,44,4,91,7.7,0,0,0,0
126,UGC07261,9.43,0.26,30,10,74.7,23.3,65.9,20.7,74.2,23.1,76.1,23.7,216,65.7,0,0,0,0
127,UGC07323,9.48,0.27,47,3,0,0,81.3,5.5,0,0,85.6,5.7,194.2,11.2,170.9,11.6,168.2,11.5
128,UGC07399,9.2,0.27,55,3,103,6.4,94.7,4.6,89.5,4.1,106,6.3,275.9,15.7,228.3,40.9,225.8,40.8
129,UGC07524,9.55,0.06,46,3,79.6,5.7,77.1,4.9,75.5,5,83.8,5.9,186.3,10.7,166.8,11.6,165.4,11.6
130,UGC07559,8.45,0.06,61,3,0,0,23.9,3.3,30.3,3.3,32.1,3.4,90.3,6.5,0,0,0,0
131,UGC07577,7.91,0.06,63,3,0,0,0,0,16.2,3.2,17.8,3.2,57.2,5.2,41.5,8.1,40.4,8.1
132,UGC07603,8.73,0.26,78,3,61.6,3.3,45.5,2.9,56.8,3,64,3,154.4,7.2,118.6,8.1,114.5,8.1
133,UGC07690,8.98,0.27,41,5,57.4,7.3,59.9,7.4,60.6,7.5,60.7,7.5,166.1,19.4,0,0,0,0
134,UGC07866,8.34,0.06,44,5,0,0,26.1,4.7,29.9,4.9,33.1,5.1,93.6,10.4,0,0,0,0
135,UGC08286,9.17,0.06,90,3,82.4,2.5,72.1,2,80.3,2.1,84.3,2,190,1,184,1,0,0
136,UGC08490,9.17,0.11,50,3,78.6,5.2,69.8,4.8,76.3,5,80.1,5.1,167.1,9.5,159.3,7.1,0,0
137,UGC08550,8.72,0.26,90,3,56.9,2.3,42.7,2.7,49.4,2.1,57.8,2.2,154,7,132,1,0,0
138,UGC08699,10.48,0.24,73,9,182.4,11.3,178.6,9.1,180.1,16.5,202,10.7,411,20.9,0,0,0,0
139,UGC08837,8.83,0.07,80,5,0,0,46.9,3.2,0,0,48,3.1,107.6,5.3,0,0,0,0
140,UGC09037,10.78,0.11,65,5,152.3,14.9,131.7,7.6,139.7,8.8,160,9.8,350.9,14.6,329.9,21.7,318.9,21.4
141,UGC09133,11.27,0.19,53,6,226.8,18.4,281.2,22.9,287.7,25.1,289,26.1,550.9,43.8,547.2,47.2,534.7,46.3
142,UGC09992,8.77,0.26,30,10,33.6,11.6,32.9,11.4,33.5,11.6,34.3,11.8,116,35.6,0,0,0,0
143,UGC10310,9.39,0.27,34,6,71.4,12.3,67.7,11.7,71.9,12.3,73.2,12.4,202.1,32.4,166.3,27,164.5,26.8
144,UGC11455,11.31,0.16,90,1,269.4,8.1,279.7,9.4,288.9,6.6,291,10,644,4,634,15,617,15
145,UGC11557,9.98,0.23,30,10,0,0,84.3,26.7,80.7,25.3,85,26.9,224,67.9,180,55,174,53.2
146,UGC11820,9.49,0.26,45,10,0,0,57.1,10,60.4,10.6,84.5,14.8,190.9,33.7,157,28.5,149.9,27.4
147,UGC11914,10.88,0.28,31,5,288.1,43.2,285.6,45.1,283,41.9,305,44.6,695.1,101.4,621.3,92,617.4,91.5
148,UGC12506,11.07,0.11,86,4,234,17.5,242,11.7,248.6,14.9,255,11.7,494.2,3.1,481.2,14.2,465.1,14.2
149,UGC12632,9.47,0.26,46,3,71.7,4.9,64.6,4.9,70.4,4.5,73.2,4.8,183.5,11,157.1,11.3,154.3,11.2
150,UGC12732,9.76,0.27,39,6,0,0,67.7,9.6,75,10.3,98,13.1,214.5,28,193.9,27.4,189.9,26.9
151,UGCA442,8.62,0.06,64,7,56.4,4.2,45.6,3.3,52.2,3.7,57.8,4.5,123.5,10.2,110.1,14.6,102.4,14.4
152,UGCA444,7.98,0.06,78,4,37,6.3,32.1,4.4,23.1,3.1,38.3,7.8,75.7,6.1,56.2,8,56.2,8
